path	kind	name	parent	lineno
config.py	method	tag_editor_splitter_sizes	AppConfig	678
config.py	method	tag_clean_title_remove_brackets	AppConfig	684
config.py	method	tag_clean_title_remove_brackets	AppConfig	688
config.py	method	tag_clean_title_remove_web_junk	AppConfig	692
config.py	method	tag_clean_title_remove_web_junk	AppConfig	696
config.py	method	tag_clean_title_remove_hebrew	AppConfig	700
config.py	method	tag_clean_title_remove_hebrew	AppConfig	704
config.py	method	tag_clean_title_fix_punctuation	AppConfig	708
config.py	method	tag_clean_title_fix_punctuation	AppConfig	712
config.py	method	tag_clean_filename_smart_brackets	AppConfig	716
config.py	method	tag_clean_filename_smart_brackets	AppConfig	720
config.py	method	tag_clean_filename_remove_domains	AppConfig	724
config.py	method	tag_clean_filename_remove_domains	AppConfig	728
config.py	method	tag_clean_filename_remove_emojis	AppConfig	732
config.py	method	tag_clean_filename_remove_emojis	AppConfig	736
config.py	method	tag_clean_filename_fix_spaces	AppConfig	740
config.py	method	tag_clean_filename_fix_spaces	AppConfig	744
config_migrate.py	from	__future__.annotations		27
config_migrate.py	import	logging		29
config_migrate.py	from	typing.Callable		30
config_migrate.py	const	logger		32
config_migrate.py	const	CURRENT_VERSION		35
config_migrate.py	const	_MIGRATIONS		44
config_migrate.py	func	migrate		71
core/batch_importer.py	from	__future__.annotations		58
core/batch_importer.py	import	re		60
core/batch_importer.py	from	pathlib.Path		61
core/batch_importer.py	from	typing.Optional		62
core/batch_importer.py	from	urllib.parse.urlparse		63
core/batch_importer.py	from	core.playlist_parser.classify_url		65
core/batch_importer.py	from	core.playlist_parser.SourcePlatform		65
core/batch_importer.py	const	_URL_RE		76
core/batch_importer.py	const	_COMMENT_RE		84
core/batch_importer.py	const	_BLANK_RE		85
core/batch_importer.py	class	ImportResult		92
core/batch_importer.py	method	__init__	ImportResult	105
core/batch_importer.py	method	found_count	ImportResult	120
core/batch_importer.py	method	youtube_urls	ImportResult	124
core/batch_importer.py	method	spotify_urls	ImportResult	131
core/batch_importer.py	method	summary	ImportResult	137
core/batch_importer.py	method	__repr__	ImportResult	161
core/batch_importer.py	class	BatchImporter		173
core/batch_importer.py	method	from_text_file	BatchImporter	185
core/batch_importer.py	method	from_raw_text	BatchImporter	233
core/batch_importer.py	method	from_clipboard_text	BatchImporter	269
core/batch_importer.py	method	_parse_text	BatchImporter	290
core/batch_importer.py	method	_validate_and_deduplicate	BatchImporter	343
core/channel_tab_discoverer.py	from	__future__.annotations		11
core/channel_tab_discoverer.py	import	logging		13
core/channel_tab_discoverer.py	from	dataclasses.dataclass		14
core/channel_tab_discoverer.py	from	dataclasses.field		14
core/channel_tab_discoverer.py	from	typing.Optional		15
core/channel_tab_discoverer.py	const	logger		17
core/channel_tab_discoverer.py	const	_TAB_MAP		23
core/channel_tab_discoverer.py	const	_IGNORE_TABS		34
core/channel_tab_discoverer.py	class	TabInfo		38
core/channel_tab_discoverer.py	class	DiscoveryResult		47
core/channel_tab_discoverer.py	method	success	DiscoveryResult	53
core/channel_tab_discoverer.py	func	discover_tabs		59
core/channel_tab_discoverer.py	func	_extract_channel_name		146
core/channel_tab_discoverer.py	func	_extract_tabs		166
core/channel_tab_discoverer.py	func	_tab_from_element		190
core/channel_tab_discoverer.py	func	_default_tabs		223
core/channel_tab_discoverer.py	func	_strip_tab_suffix		232
core/cookie_wizard.py	from	__future__.annotations		12
core/cookie_wizard.py	import	logging		14
core/cookie_wizard.py	from	pathlib.Path		15
core/cookie_wizard.py	from	playwright.sync_api.sync_playwright		17
core/cookie_wizard.py	from	utils.paths.get_app_cookies_path		19
core/cookie_wizard.py	const	logger		21
core/cookie_wizard.py	func	format_netscape_cookies		24
core/cookie_wizard.py	func	run_cookie_wizard		45
core/download_orchestrator.py	from	__future__.annotations		25
core/download_orchestrator.py	import	time		27
core/download_orchestrator.py	import	random		28
core/download_orchestrator.py	import	logging		29
core/download_orchestrator.py	import	threading		30
core/download_orchestrator.py	from	concurrent.futures.ThreadPoolExecutor		31
core/download_orchestrator.py	from	concurrent.futures.as_completed		31
core/download_orchestrator.py	from	dataclasses.dataclass		32
core/download_orchestrator.py	from	typing.Optional		33
core/download_orchestrator.py	from	typing.Protocol		33
core/download_orchestrator.py	from	typing.Tuple		33
core/download_orchestrator.py	from	core.history_db.DownloadRecord		35
core/download_orchestrator.py	from	core.history_db.HistoryDB		35
core/download_orchestrator.py	from	core.downloader.DownloadEngine		36
core/download_orchestrator.py	from	core.downloader.DownloadProgress		36
core/download_orchestrator.py	from	core.downloader.DownloadRequest		36
core/download_orchestrator.py	from	core.downloader.DownloadStatus		36
core/download_orchestrator.py	from	core.downloader.MediaType		36
core/download_orchestrator.py	from	core.retry_policy.DEFAULT_POLICY		43
core/download_orchestrator.py	from	core.retry_policy.retry_download		43
core/download_orchestrator.py	from	error_handler.classify_error		44
core/download_orchestrator.py	from	error_handler.ErrorInfo		44
core/download_orchestrator.py	const	logger		46
core/download_orchestrator.py	class	OrchestratorCallbacks		53
core/download_orchestrator.py	method	on_track_progress	OrchestratorCallbacks	60
core/download_orchestrator.py	method	on_track_speed	OrchestratorCallbacks	61
core/download_orchestrator.py	method	on_track_status	OrchestratorCallbacks	62
core/download_orchestrator.py	method	on_track_finished	OrchestratorCallbacks	63
core/download_orchestrator.py	method	on_track_error	OrchestratorCallbacks	64
core/download_orchestrator.py	method	on_overall_progress	OrchestratorCallbacks	65
core/download_orchestrator.py	method	on_metrics	OrchestratorCallbacks	66
core/download_orchestrator.py	method	on_status_message	OrchestratorCallbacks	67
core/download_orchestrator.py	method	on_job_count_changed	OrchestratorCallbacks	68
core/download_orchestrator.py	method	on_batch_finished	OrchestratorCallbacks	69
core/download_orchestrator.py	method	on_track_thumbnail	OrchestratorCallbacks	70
core/download_orchestrator.py	class	BatchResult		78
core/download_orchestrator.py	class	DownloadOrchestrator		90
core/download_orchestrator.py	method	__init__	DownloadOrchestrator	102
core/download_orchestrator.py	method	cancel	DownloadOrchestrator	128
core/download_orchestrator.py	method	cancel_track	DownloadOrchestrator	141
core/download_orchestrator.py	method	run_batch	DownloadOrchestrator	150
